rank,citations,citing author name,affiliation,latitude,longitude,country,citing paper title,cited paper title,county,city,state
211,1344,Bharat Lohani,,,,,Role of Simulated Lidar Data for Training 3D Deep Learning Models: An Exhaustive Analysis,Deflating dataset bias using synthetic data augmentation,,,
212,1303,Avani Wildani,Cloudflare,37.7813933,-122.3918002,United States,Transfer Learning via Latent Dependency Factor for Estimating PM 2.5,Deflating dataset bias using synthetic data augmentation,,San Francisco,California
213,1303,Avani Wildani,Cloudflare,37.7813933,-122.3918002,United States,Spatial Transfer Learning for Estimating PM 2.5 in Data-Poor Regions,Deflating dataset bias using synthetic data augmentation,,San Francisco,California
214,1262,Eric Jenn,IRT Saint-Exupery - Toulouse - France,43.5627213,1.4890239,France,A testing approach for dependable Machine Learning systems,Deflating dataset bias using synthetic data augmentation,Haute-Garonne,Toulouse,Occitania
215,1236,Jae Seung Lee,Graduate School of Environmental Studies,38.25526035,140.8334515062668,Japan,StarGAN Model to Translate Interior Style Trained with Virtual Images,Deflating dataset bias using synthetic data augmentation,,Sendai,
216,1214,Mattias Dahl,Professor,59.8902797,11.857567,Norway,Effects of Foreground Augmentations in Synthetic Training Data on the Use of UAVs for Weed Detection,Deflating dataset bias using synthetic data augmentation,Innlandet,,
217,1178,Arijit Ray,India,22.3511148,78.6677428,India,Lasagna: Layered Score Distillation for Disentangled Object Relighting,SIMBAR: Single Image-Based Scene Relighting For Effective Data Augmentation For Automated Driving Vision Tasks,Tamia Tahsil,,Madhya Pradesh
218,1176,Matthew Gadd,University of Oxford,51.75870755,-1.2556684826092037,United Kingdom,Visual dna: Representing and comparing images using distributions of neuron activations,deepPIC: Deep perceptual image clustering for identifying bias in vision datasets,Oxfordshire,Oxford,England
219,1151,Minye Wu,KU Leuven Belgium,50.80571285,3.2915374489139757,Belgium,Unveiling the Ambiguity in Neural Inverse Rendering: A Parameter Compensation Analysis,SIMBAR: Single Image-Based Scene Relighting For Effective Data Augmentation For Automated Driving Vision Tasks,Kortrijk,Kortrijk,West Flanders
220,1146,Mustafa A Elattar,Center for Informatics Science,,,,A novel data augmentation approach for ego-lane detection enhancement,Deflating dataset bias using synthetic data augmentation,,,
221,1141,Qinghai Miao,University of Chinese Academy of Sciences Beijing,39.907697049999996,116.24405770367915,China,Parallel learning: Overview and perspective for computational learning across Syn2Real and Sim2Real,SIMBAR: Single Image-Based Scene Relighting For Effective Data Augmentation For Automated Driving Vision Tasks,,Shijingshan District,Beijing
222,1130,Daniele De Martini,Oxford Robotics Institute,,,,Visual dna: Representing and comparing images using distributions of neuron activations,deepPIC: Deep perceptual image clustering for identifying bias in vision datasets,,,
223,1105,Lorenzo Putzu,University of Cagliari,,,,Synthetic Data for Video Surveillance Applications of Computer Vision: A Review,Deflating dataset bias using synthetic data augmentation,,,
224,1089,Siva Karthik Mustikovela,University of Heidelberg,49.419968499999996,8.683898433423984,Germany,Training object detection systems with generated images,Neural network image processing,,Heidelberg,Baden-Württemberg
